TimeOfDay,Price,10minStDev,10minAverage,Bollinger,Volume
10:35:00,534.67,0.06846826879442917,534.5936363636364,--,9368106.53
10:36:00,534.76,0.0762435103961992,534.6054545454546,--,9469507.14
10:37:00,535.1,0.1548213385875706,534.6527272727272,--,9570907.74
10:38:00,535.14,0.20272208420886334,534.7054545454547,--,9672308.34
10:39:00,535.46,0.28803695814286895,534.7772727272727,--,9773392.87
10:40:00,535.8,0.3991524642376151,534.8827272727274,--,9874477.39
10:41:00,535.81,0.46908842654217875,534.9927272727273,--,9975561.91
10:42:00,535.97,0.5344471293163885,535.12,--,10076646.43
10:43:00,535.86,0.5666415486249373,535.2354545454546,--,10177514.96
10:44:00,535.97,0.5923822070154949,535.3754545454545,--,10278383.49
10:45:00,535.96,0.6084017934712105,535.5000000000001,--,10379252.02
10:46:00,536.16,0.6282006551336868,535.6354545454546,--,10480120.54
10:47:00,536.28,0.6448055752723292,535.7736363636363,--,10580753.89
10:48:00,536.35,0.6457962080246082,535.8872727272728,--,10681387.24
10:49:00,536.17,0.6349306179077139,535.9809090909092,--,10782020.6
10:50:00,536.01,0.600668297987585,536.0309090909091,--,10882653.95
10:51:00,535.93,0.5342917681038388,536.0427272727272,--,10983047.92
10:52:00,535.73,0.48293726269510967,536.0354545454545,--,11083441.9
10:53:00,535.8,0.4146644203661857,536.02,--,11183835.88
10:54:00,535.84,0.373327072324115,536.0181818181818,--,11284229.86
10:55:00,535.67,0.341467751617056,535.9909090909091,--,11384362.1
10:56:00,535.49,0.3412454538959236,535.9481818181819,--,11484494.35
10:57:00,535.42,0.3327874443175549,535.8809090909091,--,11584626.59
10:58:00,535.41,0.31842505460775805,535.8018181818182,--,11684758.83
10:59:00,535.3,0.3113540144498909,535.7063636363637,--,11784752.59
11:00:00,534.82,0.38301906781655376,535.5836363636364,--,11884746.35
11:01:00,534.88,0.423663053818221,535.4809090909092,--,11984740.11
11:02:00,534.96,0.4419933843007356,535.3927272727273,--,12084733.87
11:03:00,534.88,0.45179016159355734,535.3154545454546,--,12184694.24
11:04:00,534.74,0.46966002698408627,535.2190909090909,--,12284654.6
11:05:00,534.66,0.4860580641992725,535.1118181818182,--,12384614.97
11:06:00,534.44,0.5053706304086855,535.0,--,12484575.33
11:07:00,534.27,0.5207282653852964,534.8890909090909,--,12584477.22
11:08:00,534.39,0.516517480864969,534.7954545454545,--,12684379.11
11:09:00,534.36,0.5131694652599126,534.6999999999999,--,12784281.0
11:10:00,534.25,0.5096650393067178,534.6045454545455,--,12884182.89
11:11:00,534.22,0.4654521242189222,534.5500000000001,--,12984126.93
11:12:00,534.3,0.43284757685978503,534.4972727272727,--,13084070.96
11:13:00,534.35,0.4136429025003117,534.4418181818181,--,13184014.99
11:14:00,534.51,0.3934522310926234,534.4081818181818,--,13283959.02
11:15:00,534.47,0.36690125228133863,534.3836363636365,--,13383903.05
11:16:00,534.31,0.3409066666580348,534.3518181818182,--,13483847.08
11:17:00,534.33,0.29617724707165194,534.3418181818182,--,13583791.12
11:18:00,534.38,0.23010891485819623,534.3518181818182,--,13683735.15
11:19:00,534.3,0.1953928405385753,534.3436363636364,--,13783679.18
11:20:00,534.33,0.16637334569509696,534.3409090909091,--,13883623.21
11:21:00,534.33,0.1276034663639748,534.3481818181818,--,13983567.24
11:22:00,534.53,0.0923497419105969,534.3763636363636,--,14083511.28
11:23:00,534.74,0.12046772109444503,534.4163636363637,--,14183455.31
11:24:00,534.91,0.17766517272326715,534.4672727272728,--,14283399.34
11:25:00,534.91,0.21362212015114274,534.5036363636364,--,14383343.37
11:26:00,534.96,0.24571122177851892,534.5481818181817,--,14483287.4
11:27:00,534.85,0.2569464683612305,534.5972727272728,--,14583231.44
11:28:00,534.73,0.2585594084412073,534.6336363636364,--,14683175.47
11:29:00,534.95,0.27044957978636247,534.6854545454545,--,14783119
11:29:59,534.97,0.2784179033856,534.7463636363635,--,14438325.0
